dayType,date,deviceType,Channel,Users,OrderCount,FirstTimeUsers,ReturningUsers
BAU,20230706,WAP,Others,163868,16257,163475,393
BAU,20230706,WAP,Direct,42663,1537,42514,149
BAU,20230706,WAP,Google,76903,2996,76738,165
BAU,20230706,WEB,Google,993,6,842,151
SALE,20230709,WAP,FB,361316,26457,360953,363
SALE,20230709,WAP,Direct,43896,1698,43752,144
SALE,20230709,WEB,Google,976,5,855,121
SALE,20230709,WEB,FB,295,0,181,114
SALE,20230709,WEB,Others,1000,4,756,244
SALE,20230709,WEB,Direct,17480,4,16920,560
SALE,20230709,WAP,SEO,9313,141,9298,15
SALE,20230709,WAP,Others,178429,20431,177971,458
SALE,20230709,WAP,Google,86459,4070,86311,148
SALE,20230709,WAP,whatsapp,1847,193,1837,10
SALE,20230709,WEB,whatsapp,22,0,12,10
SALE,20230709,WEB,SEO,2085,0,1865,220
SALE,20230923,WEB,Direct,16098,1,15259,839
SALE,20230923,WEB,whatsapp,18,0,11,7
SALE,20230923,WAP,SEO,7570,112,7555,15
SALE,20230923,WAP,FB,228781,15898,228529,252
SALE,20230923,WEB,Others,908,1,648,260
SALE,20230923,WAP,Others,110646,11949,110331,315
SALE,20230923,WAP,Direct,41918,1847,41784,134
SALE,20230923,WEB,SEO,2357,0,2095,262
SALE,20230923,WEB,Google,1011,1,903,108
SALE,20230923,WAP,Google,63081,2747,62980,101
SALE,20230923,WEB,FB,557,1,407,150
SALE,20230923,WAP,whatsapp,1049,63,1045,4
BAU,20230921,WEB,SEO,2613,0,2285,328
BAU,20230921,WEB,Google,853,3,721,132
BAU,20230921,WAP,SEO,7082,83,7072,10
BAU,20230921,WAP,Google,55420,2049,55337,83
BAU,20230921,WAP,Direct,38566,1373,38419,147
BAU,20230921,WEB,whatsapp,17,0,15,2
BAU,20230921,WAP,FB,209498,12906,209272,226
BAU,20230921,WAP,Others,92846,8490,92601,245
BAU,20230921,WEB,Others,975,3,666,309
BAU,20230921,WAP,whatsapp,1093,56,1085,8
BAU,20230921,WEB,Direct,18085,6,17112,973
BAU,20230921,WEB,FB,649,4,474,175
BAU,20230822,WAP,SEO,6882,82,6868,14
BAU,20230822,WAP,Google,79678,2683,79533,145
BAU,20230822,WAP,whatsapp,599,41,594,5
BAU,20230822,WAP,Direct,38891,1221,38741,150
BAU,20230822,WEB,FB,507,2,356,151
BAU,20230822,WEB,Direct,19279,2,18341,938
BAU,20230822,WEB,SEO,2695,0,2349,346
BAU,20230822,WAP,Others,143551,12493,143223,328
BAU,20230822,WEB,whatsapp,12,0,8,4
BAU,20230822,WAP,FB,326167,17879,325882,285
BAU,20230822,WEB,Others,1029,5,707,322
BAU,20230822,WEB,Google,1226,3,1029,197
BAU,20230705,WEB,whatsapp,37,0,25,12
BAU,20230705,WAP,Google,81056,3025,80907,149
BAU,20230705,WAP,whatsapp,2144,147,2125,19
BAU,20230705,WEB,SEO,2959,2,2608,351
BAU,20230705,WAP,FB,439564,25182,439164,400
BAU,20230705,WEB,FB,397,0,252,145
BAU,20230705,WAP,Others,185403,16858,185019,384
BAU,20230705,WEB,Google,1058,2,893,165
BAU,20230705,WAP,SEO,8567,111,8556,11
BAU,20230705,WEB,Direct,25012,3,23990,1022
BAU,20230705,WAP,Direct,43535,1496,43383,152
